2.14825, 43.92742, Groupe CIC-Credit Mutuel, Albi
6.34348, 47.14840, Groupe CIC-Credit Mutuel, Valdahon
1.06833, 45.14111, Credit Agricole, Thenon, avenue de la Liberation
7.01748, 47.71321, Groupe CIC-Credit Mutuel, Lachapelle sous Rougemont
7.25600, 43.70151, Credit Agricole, Nice, boulevard Gambetta
4.48288, 46.36046, Credit Agricole, Dompierre les Ormes
2.50390, 48.84200, Credit Agricole, Le Perreux sur Marne, 116 avenue du General de Gaulle
2.07816, 48.88692, Groupe HSBC-Banque Hervet, Mareil Marly, 40 rue des Closeaux
2.07816, 48.88692, Banque Societe Generale, Mareil-Marly, 40 rue des Closeaux
4.85686, 45.70822, Groupe LCL, Saint Fons, Carnot
-0.75240, 46.10613, Groupe La Banque Postale, Surgeres, place de l'Europe
1.53199, 45.16514, Credit Agricole, Brive la Gaillarde, 1 avenue Pasteur
1.51803, 45.16473, Credit Agricole, Brive la Gaillarde
4.84962, 46.78366, Groupe CIC-Credit Mutuel, Chalon sur Saone
6.75200, 43.43280, Groupe CIC-Credit Mutuel, Frejus, Tassigny
1.63030, 49.93140, La Banque Postale, Blangy sur Bresle, rue Cossard
4.25605, 45.52536, Groupe La Banque Postale, Andrezieux Boutheon, 10 rue F. Bonis
2.28330, 49.87944, Credit Agricole, Amiens
6.92359, 43.66217, Groupe CIC-Credit Mutuel, Grasse
6.31255, 46.06658, Groupe BNP-Paribas, La Roche sur Foron, 1 place de la Republique
2.42426, 48.93324, Groupe CIC-Credit Mutuel, Le Bourget
2.48488, 48.87262, Groupe BNP-Paribas, Rosny sous Bois
-1.74892, 48.41081, Credit Agricole, Combourg, 11 place Saint Gilduin
2.28160, 48.89520, La Banque Postale, Levallois Perret, 31 rue Paul Vaillant Couturier
1.47640, 44.23940, La Banque Postale, Montpezat de Quercy, boulevard des Fosses
3.10810, 48.94600, Credit Agricole, Sept Sorts, ZAC du Hainault (Intermarche
2.16480, 48.76540, La Banque Postale, Jouy en Josas, 1 rue du Temple
6.04065, 43.18960, Groupe BNP-Paribas, Sollies Pont
4.77407, 45.94087, Banque Societe Generale, Trevoux
2.05401, 48.75543, Credit Agricole, Voisins le Bretonneux
-1.32098, 46.88649, Groupe CIC-Credit Mutuel, Les Brouzils
-3.62990, 47.81138, Groupe Banque Populaire, Moelan sur Mer, CC Intermarche
2.90352, 42.68930, Groupe BNP-Paribas, Perpignan, Kennedy
2.34710, 48.75040, La Banque Postale, Rungis, 6 place Louis XIII
3.93944, 43.64222, Banque Societe Generale, Le Cres, 2 rue de la Joncasse
-0.44197, 47.52189, Groupe CIC-Credit Mutuel, Pellouailles, Magasin Netto
7.12310, 43.58160, La Banque Postale, Antibes, 2 avenue Paul Doumer
4.71680, 45.98790, Banque Rhone-Alpes, Villefranche sur Saone, 108 rue de la Republique
-3.31815, 48.23586, La Poste, Rostrenen, 7 place General de Gaulle
2.90940, 48.85700, Credit Agricole, Crecy la Chapelle, 8 rue du General Leclerc
2.28577, 48.87003, Banque Credit du Nord, Paris, place Victor Hugo
2.29297, 48.87879, Banque Credit du Nord, Paris
2.65066, 50.00327, Groupe CIC-Credit Mutuel, Albert
-1.68425, 48.10837, Banque Credit du Nord, Rennes, 1 boulevard de la Tour d'Auvergne
-4.07345, 47.98293, Banque Societe Generale, Quimper, CC Casino
2.14691, 48.94808, Groupe LCL, Maisons Laffitte
2.75361, 49.09528, Credit Agricole, Le Plessis Belleville
3.06503, 50.64170, Credit Agricole, Lille
2.35590, 48.85800, La Banque Postale, Paris, 10 rue de Moussy
6.13289, 49.09354, Groupe CIC-Credit Mutuel, Montigny, Centre
4.08610, 48.30350, La Banque Postale, Troyes, 95 rue Kleber
6.43085, 43.42741, Groupe CIC-Credit Mutuel, Vidauban
1.30897, 43.61108, Groupe CIC-Credit Mutuel, Colmiers, Perget
2.39748, 48.86494, Groupe CIC-Credit Mutuel, Paris, Gambetta
6.58035, 46.05887, Groupe LCL, Cluses, 11 Grande rue
6.72228, 48.20897, Groupe CIC-Credit Mutuel, Bruyeres
-0.29762, 49.20396, Credit Agricole, Colombelles
6.23461, 46.19030, Groupe La Banque Postale, Annemasse, 16 rue M. Courriard
5.78326, 43.83147, Banque Societe Generale, Manosque, boulevard E. Bourges
6.53268, 45.48347, Groupe Banque Populaire, Moutiers, 185 quai Republique
0.13605, 48.00837, Credit Agricole, Rouillon
0.09631, 44.39393, Groupe La Banque Postale, Bouglon, rue du Foirail
4.05736, 46.03871, Groupe CIC-Credit Mutuel, Roanne, Mulsant
2.24861, 48.89011, Groupe BNP-Paribas, Puteaux, La Defense Esplanade
-2.00576, 48.64843, Groupe BNP-Paribas, Saint Malo
4.95245, 45.77008, Groupe Banque Populaire, Decines, 159 avenue Jean Jaures
4.84470, 45.76860, La Banque Postale, Lyon, 16 cours Franklin Roosevelt
4.91551, 44.76490, Banque Societe Generale, Allex, avenue H. Seguin
-2.01607, 48.63735, Groupe BNP-Paribas, Saint Malo, Saint Servan
4.68575, 44.55270, Groupe Banque Populaire, Le Teil
5.38590, 43.29500, La Banque Postale, Marseille, 32 place Jean Jaures
-1.52818, 43.49485, Groupe CIC-Credit Mutuel, Anglet, Cinq Cantons
2.54932, 48.61426, Groupe LCL, Lieusaint, Carre Senart
2.08871, 49.05758, Groupe BNP-Paribas, Pontoise, Les Louvrais
-2.93197, 48.67566, Credit Agricole, Plouha, 2 avenue Laennec
3.08367, 45.77592, Credit Agricole, Clermont Ferrand
7.85813, 48.76711, Groupe CIC-Credit Mutuel, Bischwiller
4.38639, 45.43764, Groupe CIC-Credit Mutuel, Saint Etienne, Hotel de Ville
1.08199, 43.61317, Groupe CIC-Credit Mutuel, L Isle Jourdain
4.88879, 45.75999, Credit Agricole, Villeurbanne, 165 cours Tolstoi
2.09181, 48.89624, Groupe CIC-Credit Mutuel, Foret sur Seine
0.20454, 47.89417, Groupe CIC-Credit Mutuel, Monce en Belin
5.25371, 45.72437, Credit Agricole, Cremieu, Centre-Est
2.37500, 47.76570, La Banque Postale, Sully sur Loire, 7 rue du Grand Sully
2.35350, 43.21340, La Banque Postale, Carcassonne, 40 rue J. Bringer
3.74460, 45.54960, La Banque Postale, Ambert, 1 rue Montgolfier
3.09268, 50.70380, Groupe CIC-Credit Mutuel, Bondues
1.75397, 49.76849, Groupe BNP-Paribas, Aumale
-0.43830, 45.44717, Groupe CIC-Credit Mutuel, Jonzac
2.33448, 48.87449, Groupe CIC-Credit Mutuel, Paris
2.40858, 48.86398, Groupe BNP-Paribas, Paris, Porte de Bagnolet
6.14472, 47.10523, Groupe CIC-Credit Mutuel, Ornans
2.82655, 49.41714, Groupe LCL,  Compiegne, rue Magenta
2.49514, 45.40067, Credit Agricole, Bort les Orgues, place de l'Egalite
1.67353, 45.05547, Credit Agricole, Meyssac, place du Jet d'Eau
2.90498, 48.94966, Groupe CIC-Credit Mutuel, Meaux, Colbert
-4.28151, 47.79578, Credit Agricole, Le Guilvinec
4.73575, 45.78410, Credit Agricole, Charnonnieres les Bains, 16 avenue General de Gaulle
2.32873, 48.88039, Groupe LCL, Paris, Liege
2.99965, 50.71184, Groupe CIC-Credit Mutuel, Quesnoy sur Deule
2.25933, 48.80237, Groupe La Banque Postale, Clamart, 38 rue de Meudon
6.14568, 45.92179, Credit Agricole, Annecy le Vieux, CC des Tilleuls - rue de Lachat
-1.94537, 47.36057, Groupe CIC-Credit Mutuel, Savenay, Hyper U
-1.94537, 47.36057, Groupe CIC-Credit Mutuel, Savenay
0.54472, 46.81506, Groupe La Banque Postale, Chatellerault, 3 boulevard de Blossac
0.61408, 47.34074, Groupe CIC-Credit Mutuel, Ballan Mire
3.92781, 45.04789, Credit Agricole, BrivesCharensac, place de la Liberation
5.89547, 43.08023, Banque Societe Generale, La Seyne sur Mer, corniche Georges Pompidou - parc Funny Land
3.08393, 45.77589, Groupe Banque Populaire, Clermont Ferrand
2.32313, 48.84431, Credit Agricole, Paris, 57 boulevard du Montparnasse
2.12556, 48.79917, Groupe BNP-Paribas, Versailles, Saint Louis
4.41660, 45.43570, La Banque Postale, Saint Etienne, 12 rue P. Ronin
3.24704, 45.54447, Credit Agricole, Issoire, 27 boulevard A. Buisson
6.02283, 47.23857, Groupe BNP-Paribas, Besancon, Grande Rue
4.13751, 43.53719, Groupe BNP-Paribas, Le Grau du Roi
7.28726, 43.69815, Groupe LCL, Nice, port
2.42210, 48.73527, Groupe BNP-Paribas, Villeneuve le Roi
4.84511, 45.76371, Credit Agricole-Banque Palat, Lyon, Lafayette
4.84511, 45.76371, Banque Palatine, Lyon, Lafayette
3.05361, 46.40920, Credit Agricole, Le Montet, 24 route Nationale
-1.59800, 49.04820, La Banque Postale, Agon Coutainville, 25 place du 28 Juillet
-1.70740, 48.12146, Credit Agricole, Rennes, cours J.F. Kennedy
2.63841, 50.53109, Groupe BNP-Paribas, Bethune
-2.47876, 47.27728, Groupe CIC-Credit Mutuel, Cote Sauvage
-0.86035, 46.83110, Groupe CIC-Credit Mutuel, La Flocelliere
5.44400, 45.56490, La Banque Postale, La Tour du Pin, boulevard Gambetta
-0.19962, 48.89626, Groupe BNP-Paribas, Falaise
1.46587, 43.60064, Groupe CIC-Credit Mutuel, Toulouse, Camille Pujol
2.31005, 48.85848, Groupe BNP-Paribas, Paris, Latour Maubourg
3.06480, 50.64052, Credit Agricole, Lille
2.60387, 46.33839, Groupe BNP-Paribas, Montlucon
1.68437, 49.00051, Groupe BNP-Paribas, Mantes, Val Fourre
2.37135, 48.75659, La Banque Postale, Thiais, CC Belle Epine
4.85170, 46.78396, Banque Rhone-Alpes, Chalon sur Saone, 11 boulevard de la Republique
6.53154, 43.17324, Groupe La Banque Postale, Cavalaire sur Mer
4.87085, 45.74396, Credit Agricole, Lyon, 134 avenue des Freres Lumiere
-0.56400, 44.84600, Credit Agricole, Bordeaux, quai de Queyries
6.42190, 48.25110, La Banque Postale, Thaon les Vosges, 7 rue Thiers
2.21770, 49.11210, La Banque Postale, L Isle Adam, 46 bis Grande rue
2.39650, 48.78410, La Banque Postale, Vitry sur Seine, avenue du 8 Mai 1945
2.68260, 49.05300, Credit Agricole, Dammartin en Goele, 23 rue de Meaux (Marche +
-0.07500, 49.30080, La Banque Postale, Houlgate, 2 boulevard des Belges
2.03810, 50.37550, La Banque Postale, Hesdin, 4 place Garbe
7.46750, 48.10100, Credit Agricole, Muntzenheim, 16 route de Colmar
1.13599, 45.79665, Groupe CIC-Credit Mutuel, Aixe sur Vienne
5.63669, 45.45556, Credit Agricole, Saint Geoire en Valdaine, place de l'Eglise
2.30513, 48.90146, Groupe BNP-Paribas, Clichy, Jean Jaures
2.32247, 48.88412, Groupe Banque Populaire, Paris, 46 rue des Dames
0.27725, 45.55656, Credit Agricole, Dignac
2.25167, 48.82194, Groupe BNP-Paribas, Issy les Moulineaux, ouest
3.74320, 47.46380, La Banque Postale, Vezelay, 17 rue Saint Etienne
2.33124, 48.90367, Banque Credit du Nord, Saint Ouen
2.41630, 48.95420, La Banque Postale, Dugny, 25 avenue L. Lariviere
2.42055, 44.98876, Credit Agricole, Jussac, 1 promenade des Sports
4.12427, 45.14360, Groupe CIC-Credit Mutuel, Yssingeaux
1.17990, 45.84260, La Banque Postale, Limoges, avenue de Landouge
4.70664, 45.99877, Groupe CIC-Credit Mutuel, Villefranche sur Saone
2.93827, 50.57310, Groupe CIC-Credit Mutuel, Wavrin
4.81721, 46.79469, Groupe La Banque Postale, Chatelerois, place du Marche
2.13578, 48.70140, Credit Agricole, Gif sur Yvette
